"v_products_model"~"v_status"~"v_products_name_3"~"v_products_description_3"~"v_products_image"~"v_products_price"~"v_products_quantity"~"v_products_weight"~"v_categories_image_1"~"v_categories_name_1_3"~"v_categories_image_2"~"v_categories_name_2_3"~"v_manufacturers_name"~"v_tax_class_title"~"EOREOR"
16121~"Active"~"STIMUL8 LIMPIADOR DE JUGUETES BIOLOGICO 150 ML"~"<p>
	Desinfectante antibacteriano sin alcohol que limpia todos tus accesorios.<br />
	<br />
	Limpia todos tus juguetes er&oacute;ticos higi&eacute;nicamente antes y despu&eacute;s de cada momento de juego. Mantendr&aacute;s y prolongar&aacute;s el tiempo de vida de tus queridos juguetes y estar&aacute;n en una buena condici&oacute;n.<br />
	<br />
	Lo m&aacute;s importante es que de esta manera se eliminan todas las bacterias y otras contaminaciones.<br />
	<br />
	Es seguro usar Stimul8 Toy Cleaner para los vibradores, consoladores, vaginas artificiales o mu&ntilde;ecas hinchables de pl&aacute;stico, etc.. Se puede usar con todo tipo de materiales.<br />
	<br />
	Es un art&iacute;culo imprescindible.<br />
	<br />
	Envase de 150 ml.</p>
"~"products/STIMUL8_LIMPIADOR_DE_JUGUETES_BIOLOGICO_150_ML.jpg"~"12.45"~7~"0.5"~~"JUGUETES XXX"~~"LIMPIEZA Y CONSERV."~"STIMUL8"~"IVA (Normal)"~"EOREOR"
16122~"Active"~"LOVERS PREMIUM TEASE ME SET DE REGALO MORADO"~"<p>
	Set para regalar en color morado compuesto por una bala vibradora (incluye las pilas), un anillo vibrador para el pene y una m&aacute;scara, todo ello en color morado.<br />
	<br />
	&iexcl;No podr&eacute;is dejar de provocaros!</p>
"~"products/LOVERS_PREMIUM_TEASE_ME_SET_DE_REGALO_MORADO.jpg"~"27.05"~3~"0.5"~~"VARIOS"~~"PARA REGALAR"~"LOVERSPREMIUM"~"IVA (Normal)"~"EOREOR"
16123~"Active"~"LOVERS PREMIUM TEASE ME SET DE REGALO ROSA"~"<p>
	Set para regalar en color rosa compuesto por una bala vibradora (incluye las pilas), un anillo vibrador para el pene y una m&aacute;scara, todo ello en color rosa.<br />
	<br />
	&iexcl;No podr&eacute;is dejar de provocaros!</p>
"~"products/LOVERS_PREMIUM_TEASE_ME_SET_DE_REGALO_ROSA.jpg"~"27.05"~1~"0.5"~~"VARIOS"~~"PARA REGALAR"~"LOVERSPREMIUM"~"IVA (Normal)"~"EOREOR"
16126~"Active"~"COLT PLUG ANAL HINCHABLE"~"<p>
	Plug hinchable que permite aumentar r&aacute;pidamente su tama&ntilde;o, mediante una bomba f&aacute;cil de utilizar, fabricado en l&aacute;tex.<br />
	<br />
	&iexcl;Bomb&eacute;elo hasta sentirlo completamente!.<br />
	<br />
	Incluye una v&aacute;lvula de seguridad para garantizar un control completo de la presi&oacute;n.<br />
	<br />
	Especialmente indicado para penetraciones anales, bien lubricado, se abrir&aacute; paso sin problemas, gracias a su deslizante material, ayud&aacute;ndote a alcanzar ese punto que siempre has buscado.<br />
	<br />
	&iexcl;Descubre un nuevo mundo de posibilidades!.<br />
	<br />
	Medidas: 16,5 cm x 4 cm.</p>
"~"products/COLT_PLUG_ANAL_HINCHABLE.jpg"~"39.35"~2~"0.5"~~"JUGUETES XXX"~~"PLUGS"~"CALIFORNIA EXOTIC NOVELTIES"~"IVA (Normal)"~"EOREOR"
16129~"Active"~"MOOD PLAYFUL MASSAGER VIBRADOR MORADO Y BLANCO"~"<p>
	Fant&aacute;stico vibrador impermeable ultra silencioso con varias velocidades fabricado en ABS y TPR libre de ptalatos.<br />
	<br />
	Dispones de 3 velocidades para elegir cu&aacute;l es la que mejor se adapta a ti. Para su limpieza recomendamos agua tibia y jab&oacute;n neutro.<br />
	<br />
	Medidas: 13,5 cm. X 2,7 cm.<br />
	Funciona con 2 pilas AA que no van incluidas.</p>
"~"products/MOOD_PLAYFUL_MASSAGER_VIBRADOR_MORADO_Y_BLANCO.jpg"~"55.25"~5~"0.5"~~"JUGUETES XXX"~~"ESTIMULADORES"~"DOC JOHNSON"~"IVA (Normal)"~"EOREOR"
16130~"Active"~"MOOD PLAYFUL MASSAGER VIBRADOR ROSA Y BLANCO"~"<p>
	Fant&aacute;stico vibrador impermeable ultra silencioso con varias velocidades fabricado en ABS y TPR libre de ptalatos.<br />
	<br />
	Dispones de 3 velocidades para elegir cu&aacute;l es la que mejor se adapta a ti. Para su limpieza recomendamos agua tibia y jab&oacute;n neutro.<br />
	<br />
	Medidas: 13,5 cm. X 2,7 cm.<br />
	Funciona con 2 pilas AA que no van incluidas.</p>
"~"products/MOOD_PLAYFUL_MASSAGER_VIBRADOR_ROSA_Y_BLANCO.jpg"~"21.95"~6~"0.5"~~"JUGUETES XXX"~~"ESTIMULADORES"~"DOC JOHNSON"~"IVA (Normal)"~"EOREOR"
16131~"Active"~"PJUR MED CLEAN TOALLITAS INTIMAS 25 UDS"~"<p>
	Para la higiene y el cuidado de la zona &iacute;ntima y de tus juguetes (compatible con los materiales sensibles al alcohol como el l&aacute;tex, la silicona y la goma). Reduce los olores corporales y ejerce un efecto contra las bacterias y la micosis. En la limpieza de juguetes posee un limitado efecto virucida contra virus lip&oacute;filos encapsulados.<br />
	<br />
	Para uso externo. No sustituye&nbsp; el uso del preservativo. Especialmente apropiadas para el tratamiento de las pieles sensibles (y sus mucosas). Se ha comprobado cl&iacute;nicamente la compatibilidad con la piel. El producto es inodoro y sin sabor.<br />
	<br />
	Modo de uso: Friegue la zona corporal que desea limpiar. Arroja la toallita a la basura despu&eacute;s de usarlo. Son de un solo uso.<br />
	Envase de 25 unidades.</p>
"~"products/PJUR_MED_CLEAN_TOALLITAS_INTIMAS_25_UDS.jpg"~"12.95"~35~"0.5"~~"VARIOS"~~"HIGIENE PERSONAL"~"PJUR"~"IVA (Normal)"~"EOREOR"
16132~"Active"~"PJUR MED WARMING LUBRICANTE BASE AGUA CALOR 30 ML"~"<p>
	Lubricante de base acuosa con componentes naturales o id&eacute;nticos a los naturales con efecto calor que aumenta el deseo sexual. Con extracto de loto de Bali. Estas valiosas esencias (flavonoides, prote&iacute;nas, vitamina C) proporcionan una mayor hidrataci&oacute;n de la piel con un notable incremento de la elasticidad.<br />
	<br />
	Excelente compatibilidad con la piel y con la mucosa. Dermatol&oacute;gicamente testado. Compatible con preservativos de l&aacute;tex. Sin aceites, ni grasas; sabor y olor neutro. Conservamtes id&eacute;nticos a los naturales: Alcohol benc&iacute;clico, benzoato de sodio y sorbato de potasio. Sin espermicida.<br />
	<br />
	Envase de 30 ml.</p>
"~"products/PJUR_MED_WARMING_LUBRICANTE_BASE_AGUA_CALOR_30_ML.jpg"~"10.95"~20~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"PJUR"~"IVA (Normal)"~"EOREOR"
