"v_products_model";"v_status";"v_products_name_3";"v_products_description_3";"v_products_image";"v_products_price";"v_products_quantity";"v_products_weight";"v_categories_image_1";"v_categories_name_1_3";"v_categories_image_2";"v_categories_name_2_3";"v_manufacturers_name";"v_tax_class_title";"EOREOR"
17454;"Active";"BODY LUBE ACEITE DE MASAJE 1000 ML.";"<p>
	Aceite de masaje.<br />
	<br />
	Durante el masaje ayuda a regenerar la piel y su natural flexibilidad.<br />
	<br />
	Este aceite es suave sobre la piel, dermatol&oacute;gicamente probado, sin color, sin olor y sin grasas.<br />
	<br />
	Envase de 1.000 ml.</p>
";"products/BODY_LUBE_ACEITE_DE_MASAJE_1000_ML..jpg";"27.95";1;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites.jpg";"ACEITES";"COBECO PHARMA";"IVA (Normal)";"EOREOR"
17453;"Active";"BODY LUBE ACEITE DE MASAJE 500 ML.";"<p>
	Aceite de masaje.<br />
	<br />
	Durante el masaje ayuda a regenerar la piel y su natural flexibilidad.<br />
	<br />
	Este aceite es suave sobre la piel, dermatol&oacute;gicamente probado, sin color, sin olor y sin grasas.<br />
	<br />
	Envase de 500 ml.</p>
";"products/BODY_LUBE_ACEITE_DE_MASAJE_500_ML..jpg";"18.95";2;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites.jpg";"ACEITES";"COBECO PHARMA";"IVA (Normal)";"EOREOR"
17479;"Active";"FEMME FATAL ACEITE DE MASAJE VAINILLA Y ORO 100 ML";"<p>
	Femme Fatale sin duda, el lujo de la pasi&oacute;n.<br />
	<br />
	Sus generosos componentes favorecen y avivan la pasi&oacute;n. Los embriagantes perfumes hechizan la atm&oacute;sfera de la seducci&oacute;n. La clave del amor se encuentra en el sentido del tacto gracias a sus delicados aceites y emulsiones.</p>
<p>
	La fusi&oacute;n de los sentidos al m&aacute;s alto nivel: esto es lo que supone el producto Femme Fatale.<br />
	<br />
	Aceite para masajes Gold Vainilla.</p>
";"products/FEMME_FATAL_ACEITE_DE_MASAJE_VAINILLA_Y_ORO_100_ML.jpg";"22.95";8;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites.jpg";"ACEITES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17701;"Active";"ACEITE DE MASAJE EFECTO CALOR CAFE";"<p>
	Aceites para un masaje ardiente, con sabores extraordinarios.<br />
	<br />
	De la prestigiosa marca alemana JoyDivision, l&iacute;der en ventas de productos er&oacute;ticos en Alemania, estos aceites de efecto calor, te har&aacute;n disfrutar de unos placenteros masajes con tu pareja.<br />
	<br />
	Su incre&iacute;bles olores y sabores har&aacute;n de vuestros juegos un dulce placer...<br />
	<br />
	Sabor a Caf&eacute;.<br />
	<br />
	Envase de 150 ml.</p>
";"products/ACEITE_DE_MASAJE_EFECTO_CALOR_CAFE.jpg";"12.9";13;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites_comestibles.jpg";"ACEITES COMESTIBLES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17704;"Active";"ACEITE DE MASAJE EFECTO CALOR CARAMELO";"<p>
	Aceites para un masaje ardiente, con sabores extraordinarios.<br />
	<br />
	De la prestigiosa marca alemana JoyDivision, l&iacute;der en ventas de productos er&oacute;ticos en Alemania, estos aceites de efecto calor, te har&aacute;n disfrutar de unos placenteros masajes con tu pareja.<br />
	<br />
	Su incre&iacute;bles olores y sabores har&aacute;n de vuestros juegos un dulce placer...<br />
	<br />
	Sabor a Caramelo.<br />
	<br />
	Envase de 150 ml.</p>
";"products/ACEITE_DE_MASAJE_EFECTO_CALOR_CARAMELO.jpg";"12.9";21;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites_comestibles.jpg";"ACEITES COMESTIBLES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17702;"Active";"ACEITE DE MASAJE EFECTO CALOR CEREZA";"<p>
	Aceites para un masaje ardiente, con sabores extraordinarios.<br />
	<br />
	De la prestigiosa marca alemana JoyDivision, l&iacute;der en ventas de productos er&oacute;ticos en Alemania, estos aceites de efecto calor, te har&aacute;n disfrutar de unos placenteros masajes con tu pareja.<br />
	<br />
	Su incre&iacute;bles olores y sabores har&aacute;n de vuestros juegos un dulce placer...<br />
	<br />
	Sabor a Cereza.<br />
	<br />
	Envase de 150 ml.</p>
";"products/ACEITE_DE_MASAJE_EFECTO_CALOR_CEREZA.jpg";"12.9";26;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites_comestibles.jpg";"ACEITES COMESTIBLES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17705;"Active";"ACEITE DE MASAJE EFECTO CALOR CHOCOLATE BLANCO";"<p>
	Aceites para un masaje ardiente, con sabores extraordinarios.<br />
	<br />
	De la prestigiosa marca alemana JoyDivision, l&iacute;der en ventas de productos er&oacute;ticos en Alemania, estos aceites de efecto calor, te har&aacute;n disfrutar de unos placenteros masajes con tu pareja.<br />
	<br />
	Su incre&iacute;bles olores y sabores har&aacute;n de vuestros juegos un dulce placer...<br />
	<br />
	Sabor a Chocolate Blanco.<br />
	<br />
	Envase de 150 ml.</p>
";"products/ACEITE_DE_MASAJE_EFECTO_CALOR_CHOCOLATE_BLANCO.jpg";"12.9";12;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites_comestibles.jpg";"ACEITES COMESTIBLES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17703;"Active";"ACEITE DE MASAJE EFECTO CALOR FRESA";"<p>
	Aceites para un masaje ardiente, con sabores extraordinarios.<br />
	<br />
	De la prestigiosa marca alemana JoyDivision, l&iacute;der en ventas de productos er&oacute;ticos en Alemania, estos aceites de efecto calor, te har&aacute;n disfrutar de unos placenteros masajes con tu pareja.<br />
	<br />
	Su incre&iacute;bles olores y sabores har&aacute;n de vuestros juegos un dulce placer...<br />
	<br />
	Sabor a Fresa.<br />
	<br />
	Envase de 150 ml.</p>
";"products/ACEITE_DE_MASAJE_EFECTO_CALOR_FRESA.jpg";"12.9";25;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_aceites_comestibles.jpg";"ACEITES COMESTIBLES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
17459;"Active";"CC GEL PARA DESPUES DE LA DEPILACION ZONA BIKINI";"<p>
	Suaviza y nutre la piel despu&eacute;s de la depilaci&oacute;n, especial para la zona del bikini.<br />
	<br />
	Relaja la piel y la refresca, tiene un efecto ligeramente desinfectante y pone fin al picor.<br />
	<br />
	Casi todas las mujeres se depilan con cera o usan aceite para eliminar los vellos.<br />
	<br />
	Nosotras estamos acostumbradas a hacerlo porque nos gusta sentirnos m&aacute;s seguras cuando tenemos la piel lisa y cuidada.<br />
	<br />
	CC After Depilation Gel Bikini contienen aceites naturales especialmente desarrolladas para nutrir la piel despu&eacute;s de una depilaci&oacute;n.<br />
	<br />
	El gel da una sensaci&oacute;n de limpieza y suavidad y les da una apariencia maravillosa y joven que te encantan.<br />
	<br />
	L&iacute;nea Cobeco Cosmetics.<br />
	<br />
	Envase de 50 ml.</p>
";"products/CC_GEL_PARA_DESPUES_DE_LA_DEPILACION_ZONA_BIKINI.jpg";"7.95";50;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_cuidado_del_cuerpo.jpg";"CUIDADO DEL CUERPO";"COBECO PHARMA";"IVA (Normal)";"EOREOR"
17690;"Active";"AQUAGLIDE LUBRICANTE 1000 ML";"<p>
	Gel lubricante que millones de veces ha demostrado su eficacia, es un lubricante medicinal de alt&iacute;sima calidad con excelentes propiedades deslizantes de larga duraci&oacute;n, id&oacute;neo tambi&eacute;n para el uso de juguetes er&oacute;ticos.<br />
	<br />
	Especialmente respetuoso con la piel (compatibilidad dermatol&oacute;gica y cl&iacute;nicamente testada), 100% compatible con preservativos, de pH &oacute;ptimo, soluble en agua y libre de grasas.<br />
	<br />
	No mancha. F&aacute;cil de eliminar.<br />
	<br />
	Incluye un pr&aacute;ctico dosificador.<br />
	<br />
	Ingredientes: Agua, Glicerina, Hidroxietil Celulosa, Metil-paraben.<br />
	<br />
	Envase de 1000 ml.</p>
";"products/AQUAGLIDE_LUBRICANTE_1000_ML.jpg";"37.35";9;"0.5";;"ACEITES Y LUBRICANTES";"categorias/aceites_y_lubricantes/categoria_lubricante.jpg";"LUBRICANTES";"JOYDIVISION";"IVA (Normal)";"EOREOR"
